cancer,model,variable,group,n_seeds,mean_n,mean_cindex,std_cindex
STAD,CoxRidge,age_group,51-65,10,30,0.4454,0.0993
STAD,CoxRidge,age_group,>65,10,41,0.5578,0.0485
STAD,CoxRidge,sex,MALE,10,51,0.5015,0.0685
STAD,CoxRidge,sex,FEMALE,10,27,0.5465,0.0994
STAD,CoxRidge,stage,Late (III-IV),10,40,0.4856,0.0678
STAD,CoxRidge,stage,Early (I-II),10,34,0.5556,0.1003
STAD,CoxRidge,subtype,"Stomach, Intestinal Adenocarcinoma, Tubular Type",9,16,0.4596,0.144
STAD,CoxRidge,subtype,"Stomach, Adenocarcinoma, Not Otherwise Specified (NOS)",10,26,0.5074,0.0837
STAD,CoxRidge,subtype,"Stomach, Intestinal Adenocarcinoma, Not Otherwise Specified (NOS)",9,13,0.5289,0.1679
STAD,CoxRidge,subtype,"Stomach, Adenocarcinoma, Diffuse Type",10,15,0.5617,0.1016
STAD,CoxRidge,age_group,<=50,1,11,0.3158,0.0
STAD,VAECox,age_group,51-65,10,30,0.4638,0.109
STAD,VAECox,age_group,>65,10,41,0.5267,0.0981
STAD,VAECox,sex,MALE,10,51,0.5002,0.0889
STAD,VAECox,sex,FEMALE,10,27,0.5407,0.1434
STAD,VAECox,stage,Late (III-IV),10,40,0.5113,0.0779
STAD,VAECox,stage,Early (I-II),10,34,0.5215,0.191
STAD,VAECox,subtype,"Stomach, Intestinal Adenocarcinoma, Tubular Type",9,16,0.4789,0.1073
STAD,VAECox,subtype,"Stomach, Adenocarcinoma, Not Otherwise Specified (NOS)",10,26,0.4741,0.1157
STAD,VAECox,subtype,"Stomach, Intestinal Adenocarcinoma, Not Otherwise Specified (NOS)",9,13,0.4845,0.1358
STAD,VAECox,subtype,"Stomach, Adenocarcinoma, Diffuse Type",10,15,0.6282,0.1441
STAD,VAECox,age_group,<=50,1,11,0.5789,0.0
